code,title,section,class,subclass,group,main_group
199491,139641,6,9.0,1,19.0,167.0
67043,106206,1,60.0,15,19.0,40.0
122233,194040,2,22.0,1,23.0,492.0
74053,6811,1,64.0,2,25.0,58.0
36249,58560,1,1.0,10,2300.0,1888.0
252454,65445,8,10.0,17,152.0,10783.0
113431,82585,2,12.0,12,2760.0,18231.0
252492,128338,8,10.0,17,156.0,1031.0
105158,49004,2,9.0,1,62.0,495.0
89854,15596,2,3.0,2,2217.0,77.0
185082,76739,6,5.0,1,2219.0,23309.0
250044,31267,8,10.0,16,602.0,904.0
146577,167207,5,4.0,2,2.0,106.0
98621,149023,2,7.0,9,14.0,1833.0
157383,71530,5,17.0,2,2225.0,107.0
90209,49235,2,4.0,1,14.0,34.0
153760,131316,5,16.0,7,2061.0,307.0
39420,98885,1,21.0,1,35.0,2.0
98900,133890,2,7.0,9,14.0,8142.0
58905,12676,1,41.0,8,1.0,40.0
59644,221664,1,41.0,8,29.0,23.0
121360,122057,2,13.0,1,20.0,10.0
202280,215343,6,11.0,1,20.0,536.0
120924,77281,2,12.0,20,501.0,2005.0
171750,180597,6,1.0,12,2035.0,431.0
153512,198554,5,16.0,7,2057.0,14.0
225975,101150,7,2.0,7,7.0,125.0
180009,107862,6,3.0,1,37.0,6.0
229202,37614,7,3.0,5,3.0,189.0
121652,34628,2,21.0,1,3.0,0.0
205536,175138,7,1.0,1,7.0,45.0
162670,65227,5,25.0,1,2400.0,9.0
91473,109494,2,4.0,1,35.0,571.0
160573,182275,5,23.0,14,2.0,325.0
138076,162475,4,6.0,2,7.0,186.0
257214,31007,8,10.0,17,428.0,249943.0
12700,142114,0,47.0,10,9.0,2894.0
225401,93372,7,1.0,17,13.0,20.0
210180,45928,7,1.0,8,23.0,87.0
144215,124558,5,2.0,11,37.0,36.0
151249,204244,5,16.0,3,2021.0,615.0
37758,132817,1,5.0,1,7.0,81.0
45448,222844,1,23.0,14,17.0,2225.0
184827,64615,6,5.0,1,2219.0,23026.0
251267,81642,8,10.0,17,137.0,2036.0
198816,220030,6,7.0,6,1.0,72.0
143900,33673,5,2.0,11,2700.0,1358.0
92752,110649,2,7.0,2,2.0,48.0
215657,14284,7,1.0,10,2224.0,45471.0
219006,114163,7,1.0,10,23.0,24.0
119661,80633,2,12.0,20,304.0,21004.0
236783,209568,7,4.0,11,15.0,90.0
67886,84992,1,60.0,16,1.0,4.0
153948,76588,5,16.0,7,2306.0,48.0
30407,51816,1,1.0,3,2255.0,902.0
238893,78390,7,4.0,12,21.0,2547.0
182379,28638,6,3.0,6,9.0,93.0
40154,153251,1,21.0,3,51.0,2692.0
24113,193025,0,61.0,11,2039.0,229.0
212851,116696,7,1.0,10,2224.0,5025.0
170647,22779,6,1.0,11,9.0,4.0
56725,153071,1,31.0,1,70.0,8131.0
102219,185037,2,8.0,6,64.0,85.0
214514,20185,7,1.0,10,2224.0,29447.0
222424,198950,7,1.0,11,4.0,805.0
181683,59383,6,3.0,6,2215.0,447.0
176595,80010,6,1.0,16,7.0,484.0
716,156175,0,1.0,3,34.0,866.0
196639,218273,6,6.0,11,1.0,186.0
252482,32658,8,10.0,17,156.0,1015.0
164094,77586,5,26.0,1,21.0,10.0
2914,8488,0,1.0,12,63.0,23.0
205491,53348,7,1.0,1,5.0,0.0
96839,95548,2,7.0,3,281.0,10.0
174526,91636,6,1.0,13,15.0,9.0
142471,210813,5,2.0,3,2041.0,26.0
219860,146126,7,1.0,10,29.0,402.0
116333,123,2,12.0,20,101.0,99031.0
119307,22508,2,12.0,20,301.0,21007.0
161238,169050,5,24.0,3,3.0,1016.0
113299,22428,2,12.0,12,2760.0,14271.0
15703,196017,0,61.0,1,6.0,486.0
222931,158256,7,1.0,11,8.0,4634.0
185553,53621,6,5.0,1,2219.0,25141.0
200936,9994,6,10.0,7,2220.0,31.0
13561,157664,0,61.0,1,2017.0,632.0
103368,166605,2,8.0,8,3.0,203.0
98137,184079,2,7.0,5,9.0,65218.0
216543,110685,7,1.0,10,2224.0,77317.0
102306,157405,2,8.0,6,65.0,2669.0
141724,117845,5,2.0,1,27.0,2.0
62268,197793,1,60.0,1,33.0,63.0
36253,109336,1,1.0,10,2400.0,21.0
169010,122334,6,1.0,6,19.0,32.0
99324,106671,2,8.0,1,3.0,14.0
94919,115658,2,7.0,2,409.0,14.0
98183,185093,2,7.0,5,9.0,65613.0
142493,208269,5,2.0,3,2041.0,1432.0
16538,93355,0,61.0,5,13.0,494.0
175166,6280,6,1.0,15,29.0,24.0
143475,126920,5,2.0,11,1.0,12.0
200675,14109,6,10.0,3,3.0,18.0
39817,20750,1,21.0,3,11.0,16.0
8849,135655,0,46.0,1,15.0,81.0
81472,49219,1,65.0,7,2401.0,15.0
181338,133269,6,3.0,6,15.0,1645.0
104893,192925,2,9.0,1,47.0,61.0
1182,14705,0,1.0,5,25.0,2.0
27514,70833,0,63.0,2,10.0,26.0
183700,182230,6,4.0,6,13.0,28.0
134233,220335,4,4.0,5,21.0,244.0
